held_out,metric,seen,shift
Sybil Attack,macro-F1,"0.9923 [0.9904, 0.9941]","0.9887 [0.9867, 0.9908]"
Sybil Attack,balanced-acc,"0.9946 [0.9929, 0.9963]","0.9947 [0.9930, 0.9962]"
Sybil Attack,ECE(temp),"0.0010 [0.0005, 0.0016]","0.0034 [0.0027, 0.0041]"
Sybil Attack,coverage,"0.9131 [0.9089, 0.9174]","0.9494 [0.9468, 0.9520]"
Blackhole Attack,macro-F1,"0.9928 [0.9910, 0.9944]","0.4688 [0.4633, 0.4743]"
Blackhole Attack,balanced-acc,"0.9943 [0.9924, 0.9960]","0.7421 [0.7388, 0.7452]"
Blackhole Attack,ECE(temp),"0.0014 [0.0009, 0.0021]","0.3739 [0.3685, 0.3792]"
Blackhole Attack,coverage,"0.9125 [0.9078, 0.9168]","0.4079 [0.4023, 0.4135]"
Wormhole Attack,macro-F1,"0.9999 [0.9997, 1.0000]","0.7174 [0.7107, 0.7242]"
Wormhole Attack,balanced-acc,"1.0000 [0.9999, 1.0000]","0.9116 [0.9094, 0.9140]"
Wormhole Attack,ECE(temp),"0.0001 [0.0000, 0.0002]","0.1354 [0.1312, 0.1393]"
Wormhole Attack,coverage,"0.9166 [0.9124, 0.9206]","0.6373 [0.6313, 0.6428]"
Flooding Attack,macro-F1,"0.9914 [0.9894, 0.9934]","0.9879 [0.9856, 0.9900]"
Flooding Attack,balanced-acc,"0.9938 [0.9919, 0.9956]","0.9942 [0.9925, 0.9958]"
Flooding Attack,ECE(temp),"0.0012 [0.0006, 0.0018]","0.0105 [0.0095, 0.0114]"
Flooding Attack,coverage,"0.9096 [0.9056, 0.9141]","0.7364 [0.7307, 0.7422]"
