held_out,seed,shift_balacc,fragility
Sybil Attack,0,0.9944689090035271,2.585883140563965
Blackhole Attack,0,0.7337924494682104,4.980072021484375
Wormhole Attack,0,0.8959985414642183,3.0316576957702637
Flooding Attack,0,0.9909923708821551,1.6519116163253784
Sybil Attack,1,0.9923680686673926,2.17737078666687
Blackhole Attack,1,0.7186848319634946,5.415261268615723
Wormhole Attack,1,0.9036654892523039,3.2874515056610107
Flooding Attack,1,0.9929270308032885,0.8129291534423828
Sybil Attack,2,0.9943112866845304,2.2384932041168213
Blackhole Attack,2,0.7164992002162796,5.4175238609313965
Wormhole Attack,2,0.9058314020024381,2.96126389503479
Flooding Attack,2,0.9950903582285873,1.3788331747055054
Sybil Attack,3,0.9946888314429707,2.43046236038208
Blackhole Attack,3,0.7673195673589933,5.19697904586792
Wormhole Attack,3,0.9070190906999923,3.6883766651153564
Flooding Attack,3,0.995725801773061,0.5570862293243408
Sybil Attack,4,0.9931486921908583,2.343686580657959
Blackhole Attack,4,0.7051262961923741,6.1133270263671875
Wormhole Attack,4,0.9105458866825117,2.922004461288452
Flooding Attack,4,0.9911191071692887,1.0624665021896362
Sybil Attack,5,0.9936760301087741,2.7655739784240723
Blackhole Attack,5,0.7283539201690913,5.337425708770752
Wormhole Attack,5,0.9084381642503871,3.8761723041534424
Flooding Attack,5,0.9944802619415403,0.9564996957778931
Sybil Attack,6,0.9928994917090708,2.751800537109375
Blackhole Attack,6,0.7407065336492872,4.6820759773254395
Wormhole Attack,6,0.9004830177106493,2.7263472080230713
Flooding Attack,6,0.9942097104665468,1.217149019241333
Sybil Attack,7,0.993281462679277,2.8665504455566406
Blackhole Attack,7,0.7229748882248488,5.001947402954102
Wormhole Attack,7,0.9033389557617113,3.0225493907928467
Flooding Attack,7,0.9878357562781226,1.8174101114273071
Sybil Attack,8,0.9938959525482177,2.12492036819458
Blackhole Attack,8,0.7523061625332561,4.110301971435547
Wormhole Attack,8,0.918193667101127,2.366293430328369
Flooding Attack,8,0.99389551291192,1.0906976461410522
Sybil Attack,9,0.9938670155938772,1.9754188060760498
Blackhole Attack,9,0.7202520393972847,4.865009307861328
Wormhole Attack,9,0.9030706125891282,2.5315842628479004
Flooding Attack,9,0.9929458718128196,1.1303796768188477
