dataset,held_out,drop_fraction,n_kept,cov_baseline,cov_tsfs,cov_delta,balacc_baseline,balacc_tsfs,ece_baseline,ece_tsfs
UAVIDS-2025,Sybil Attack,0.1,14,0.8471,0.8511,0.0041,0.9945,0.9938,0.0037,0.0035
UAVIDS-2025,Sybil Attack,0.2,13,0.8471,0.8876,0.0405,0.9945,0.99,0.0037,0.0041
UAVIDS-2025,Sybil Attack,0.3,11,0.8471,0.8866,0.0396,0.9945,0.9894,0.0037,0.0039
UAVIDS-2025,Blackhole Attack,0.1,14,0.5882,0.5867,-0.0015,0.7338,0.6897,0.4023,0.533
UAVIDS-2025,Blackhole Attack,0.2,13,0.5882,0.5862,-0.002,0.7338,0.687,0.4023,0.5535
UAVIDS-2025,Blackhole Attack,0.3,11,0.5882,0.5923,0.0042,0.7338,0.6852,0.4023,0.5587
UAVIDS-2025,Wormhole Attack,0.1,14,0.7023,0.6872,-0.0151,0.896,0.9388,0.1559,0.0731
UAVIDS-2025,Wormhole Attack,0.2,13,0.7023,0.6883,-0.0139,0.896,0.9021,0.1559,0.1237
UAVIDS-2025,Wormhole Attack,0.3,11,0.7023,0.704,0.0017,0.896,0.9168,0.1559,0.1028
UAVIDS-2025,Flooding Attack,0.1,14,0.7536,0.8098,0.0562,0.991,0.9833,0.007,0.0049
UAVIDS-2025,Flooding Attack,0.2,13,0.7536,0.8154,0.0618,0.991,0.9849,0.007,0.0063
UAVIDS-2025,Flooding Attack,0.3,11,0.7536,0.8366,0.0829,0.991,0.9875,0.007,0.0046
UAV-NIDD,DDoS,0.1,2755,0.0,0.0479,0.0479,0.9963,0.9815,0.0368,0.0136
UAV-NIDD,DDoS,0.2,2449,0.0,0.0235,0.0235,0.9963,0.9815,0.0368,0.0101
UAV-NIDD,DDoS,0.3,2143,0.0,0.2642,0.2642,0.9963,0.979,0.0368,0.0081
UAV-NIDD,UDP Flooding,0.1,2755,0.2713,0.8183,0.547,0.9963,0.9901,0.0044,0.0006
UAV-NIDD,UDP Flooding,0.2,2449,0.2713,0.7679,0.4966,0.9963,0.9901,0.0044,0.0006
UAV-NIDD,UDP Flooding,0.3,2143,0.2713,0.8247,0.5534,0.9963,0.979,0.0044,0.0007
UAV-NIDD,MITM,0.1,2755,0.0184,0.2775,0.2591,0.995,0.9917,0.0019,0.0025
UAV-NIDD,MITM,0.2,2449,0.0184,0.2775,0.2591,0.995,0.9917,0.0019,0.0027
UAV-NIDD,MITM,0.3,2143,0.0184,0.0096,-0.0088,0.995,0.9894,0.0019,0.2812
UAV-NIDD,Jamming,0.1,2755,0.0099,0.7963,0.7864,0.9537,0.9901,0.0679,0.0002
UAV-NIDD,Jamming,0.2,2449,0.0099,0.7901,0.7802,0.9537,0.9901,0.0679,0.0002
UAV-NIDD,Jamming,0.3,2143,0.0099,0.8247,0.8148,0.9537,0.9901,0.0679,0.0006
UAV-NIDD,BruteForce,0.1,2755,0.4994,0.708,0.2086,0.9963,0.9898,0.0002,0.0006
UAV-NIDD,BruteForce,0.2,2449,0.4994,0.7228,0.2234,0.9963,0.9898,0.0002,0.0005
UAV-NIDD,BruteForce,0.3,2143,0.4994,0.8243,0.3248,0.9963,0.9898,0.0002,0.0009
UAV-NIDD,De-authentication,0.1,2755,0.4868,0.7914,0.3045,0.9963,0.9901,0.0008,0.0017
UAV-NIDD,De-authentication,0.2,2449,0.4868,0.7901,0.3033,0.9963,0.9901,0.0008,0.0019
UAV-NIDD,De-authentication,0.3,2143,0.4868,0.5,0.0132,0.9963,0.9901,0.0008,0.0027
