dataset,held_out,seed,nfeat,k_dropped,rho_int_oracle,topk_jaccard,cov_baseline,ba_baseline,cov_tsfs,ba_tsfs,cov_random,ba_random,cov_low_imp,ba_low_imp
UAVIDS-2025,Sybil Attack,0,16,3,0.101,0.2,0.8471,0.9945,0.8876,0.99,0.8839,0.995,0.8734,0.9918
UAVIDS-2025,Sybil Attack,1,16,3,0.161,0.2,0.8916,0.9924,0.8916,0.9892,0.8786,0.9926,0.8941,0.9928
UAVIDS-2025,Sybil Attack,2,16,3,0.441,0.2,0.8615,0.9943,0.8934,0.9899,0.8678,0.9945,0.8836,0.9943
UAVIDS-2025,Sybil Attack,3,16,3,0.232,0.2,0.852,0.9947,0.8939,0.9916,0.8914,0.9941,0.8701,0.9953
UAVIDS-2025,Sybil Attack,4,16,3,0.199,0.2,0.8941,0.9931,0.8919,0.9916,0.9055,0.9905,0.8956,0.9937
UAVIDS-2025,Blackhole Attack,0,16,3,0.245,0.2,0.5882,0.7338,0.5862,0.687,0.591,0.7251,0.5869,0.7379
UAVIDS-2025,Blackhole Attack,1,16,3,-0.026,0.2,0.6025,0.7187,0.6019,0.6849,0.6069,0.7043,0.5977,0.7259
UAVIDS-2025,Blackhole Attack,2,16,3,0.203,0.5,0.6009,0.7165,0.5883,0.6851,0.6008,0.7411,0.5965,0.7217
UAVIDS-2025,Blackhole Attack,3,16,3,-0.012,0.2,0.5928,0.7673,0.5902,0.6874,0.5988,0.7449,0.5958,0.7553
UAVIDS-2025,Blackhole Attack,4,16,3,0.105,0.2,0.5994,0.7051,0.5958,0.6844,0.5973,0.6846,0.6019,0.7173
UAVIDS-2025,Wormhole Attack,0,16,3,0.537,0.2,0.7023,0.896,0.6883,0.9021,0.7131,0.9002,0.7045,0.9145
UAVIDS-2025,Wormhole Attack,1,16,3,0.577,0.5,0.7062,0.9037,0.7002,0.9344,0.7124,0.9046,0.7026,0.911
UAVIDS-2025,Wormhole Attack,2,16,3,0.38,0.5,0.7181,0.9058,0.703,0.939,0.7162,0.9057,0.7156,0.907
UAVIDS-2025,Wormhole Attack,3,16,3,0.417,0.5,0.7196,0.907,0.7017,0.9349,0.7217,0.9079,0.716,0.9058
UAVIDS-2025,Wormhole Attack,4,16,3,0.392,0.2,0.7154,0.9105,0.6956,0.883,0.6873,0.9318,0.7086,0.906
UAVIDS-2025,Flooding Attack,0,16,3,0.472,0.5,0.7536,0.991,0.8154,0.9849,0.7802,0.9956,0.7409,0.9941
UAVIDS-2025,Flooding Attack,1,16,3,0.379,0.5,0.758,0.9929,0.8413,0.9885,0.7651,0.9917,0.7464,0.9934
UAVIDS-2025,Flooding Attack,2,16,3,0.425,0.5,0.7717,0.9951,0.8133,0.9836,0.7763,0.9957,0.7611,0.9926
UAVIDS-2025,Flooding Attack,3,16,3,0.293,0.5,0.7609,0.9957,0.805,0.9853,0.7345,0.9932,0.7446,0.993
UAVIDS-2025,Flooding Attack,4,16,3,0.443,0.5,0.768,0.9911,0.8435,0.9867,0.8524,0.9849,0.7574,0.9934
UAV-NIDD,DDoS,0,43,9,0.76,0.778,0.0996,0.952,0.1325,0.9892,0.0697,0.9913,0.0025,0.952
UAV-NIDD,DDoS,1,43,9,0.642,0.778,0.0916,0.9437,0.0,0.9889,0.0118,0.9889,0.0916,0.9545
UAV-NIDD,DDoS,2,43,9,0.47,0.455,0.0212,0.9702,0.0185,0.9913,0.0188,0.9601,0.0229,0.9642
UAV-NIDD,DDoS,3,43,9,0.41,0.333,0.0044,0.9653,0.0151,0.9877,0.0086,0.9889,0.0057,0.9653
UAV-NIDD,DDoS,4,43,9,0.525,0.333,0.0049,0.9608,0.0146,0.9815,0.0049,0.9608,0.0049,0.967
UAV-NIDD,UDP Flooding,0,43,9,,0.6,0.4046,0.9963,0.8222,0.9778,0.4887,0.9901,0.4072,0.9963
UAV-NIDD,UDP Flooding,1,43,9,0.459,0.6,0.4884,0.9938,0.5,0.9667,0.5686,0.9877,0.4565,0.9938
UAV-NIDD,UDP Flooding,2,43,9,,0.6,0.4115,0.9988,0.5,0.9568,0.3289,0.9988,0.399,0.9988
UAV-NIDD,UDP Flooding,3,43,9,0.371,0.6,0.4607,1.0,0.5,0.9741,0.5312,0.9877,0.4547,0.9988
UAV-NIDD,UDP Flooding,4,43,9,,0.455,0.3749,0.9951,0.5,0.9679,0.3504,0.9951,0.3886,0.9951
UAV-NIDD,MITM,0,43,9,0.433,0.455,0.4908,0.9952,0.1592,0.9745,0.0647,0.9892,0.4666,0.9951
UAV-NIDD,MITM,1,43,9,0.741,0.6,0.1468,0.9923,0.6211,0.9733,0.5424,0.9882,0.6384,0.9915
UAV-NIDD,MITM,2,43,9,0.766,0.6,0.1199,0.9974,0.016,0.9724,0.0641,0.9975,0.1019,0.9974
UAV-NIDD,MITM,3,43,9,0.681,0.6,0.032,0.9989,0.1616,0.9707,0.5841,0.9925,0.0048,0.9993
UAV-NIDD,MITM,4,43,9,0.651,0.778,0.0024,0.9942,0.1616,0.9646,0.0061,0.9944,0.0085,0.9939
UAV-NIDD,Jamming,0,43,9,0.696,0.6,0.0099,0.965,0.6432,0.979,0.4853,0.9914,0.037,0.9696
UAV-NIDD,Jamming,1,43,9,0.781,0.455,0.2492,0.9621,0.9667,0.9778,0.4518,0.9889,0.2492,0.9789
UAV-NIDD,Jamming,2,43,9,0.649,0.6,0.0148,0.9762,0.6568,0.9728,0.0,0.9682,0.0173,0.9666
UAV-NIDD,Jamming,3,43,9,0.853,0.778,0.2505,0.9684,0.6457,0.9741,0.4716,0.9877,0.2505,0.9784
UAV-NIDD,Jamming,4,43,9,0.819,0.778,0.0,0.9756,0.6457,0.9741,0.0,0.9756,0.0012,0.9756
UAV-NIDD,BruteForce,0,43,9,0.499,0.455,0.4451,0.9958,0.6418,0.9777,0.6015,0.9901,0.4281,0.9958
UAV-NIDD,BruteForce,1,43,9,0.734,0.6,0.4574,0.9919,0.6246,0.9667,0.6523,0.9876,0.4728,0.9943
UAV-NIDD,BruteForce,2,43,9,0.595,0.455,0.4393,0.9983,0.6553,0.9568,0.4009,0.9983,0.4185,0.9983
UAV-NIDD,BruteForce,3,43,9,0.733,0.6,0.4684,0.9995,0.6443,0.9605,0.7126,0.9864,0.408,0.9995
UAV-NIDD,BruteForce,4,43,9,0.481,0.455,0.4651,0.9941,0.4987,0.9679,0.5042,0.9944,0.5064,0.9944
UAV-NIDD,De-authentication,0,43,9,0.52,0.455,0.4933,0.9963,0.6432,0.9654,0.5384,0.9901,0.4979,0.9963
UAV-NIDD,De-authentication,1,43,9,0.645,0.778,0.4751,0.9938,0.9667,0.9667,0.5062,0.9901,0.475,0.9938
UAV-NIDD,De-authentication,2,43,9,0.592,0.6,0.1504,0.9988,0.6568,0.9568,0.1291,0.9988,0.1295,0.9988
UAV-NIDD,De-authentication,3,43,9,0.52,0.6,0.472,1.0,0.6457,0.9605,0.5249,0.9877,0.4812,1.0
UAV-NIDD,De-authentication,4,43,9,0.374,0.333,0.4802,0.9951,0.5,0.9605,0.4785,0.9951,0.4913,0.9951
